대한민국,37.5665,126.9780,아시아
일본,35.6762,139.6503,아시아
중국,39.9042,116.4074,아시아
미국,38.8951,-77.0364,북아메리카
캐나다,45.4215,-75.6972,북아메리카
멕시코,19.4326,-99.1332,북아메리카
영국,51.5074,-0.1278,유럽
프랑스,48.8566,2.3522,유럽
독일,52.5200,13.4050,유럽
이탈리아,41.9028,12.4964,유럽
스페인,40.4168,-3.7038,유럽
호주,-35.2809,149.1300,오세아니아
뉴질랜드,-41.2865,174.7762,오세아니아
브라질,-15.7801,-47.9292,남아메리카
아르헨티나,-34.6037,-58.3816,남아메리카
칠레,-33.4489,-70.6693,남아메리카
이집트,30.0444,31.2357,아프리카
남아프리카공화국,-25.7461,28.1881,아프리카
케냐,-1.2921,36.8219,아프리카
나이지리아,9.0765,7.3986,아프리카
인도,28.6139,77.2090,아시아
태국,13.7563,100.5018,아시아
베트남,21.0285,105.8542,아시아
싱가포르,1.3521,103.8198,아시아
말레이시아,3.1390,101.6869,아시아
인도네시아,-6.2088,106.8456,아시아
러시아,55.7558,37.6173,아시아
터키,39.9334,32.8597,유럽
아랍에미리트,24.4539,54.3773,아시아
사우디아라비아,24.7136,46.6753,아시아
모로코,34.0209,-6.8416,아프리카
스위스,46.9480,7.4474,유럽
네덜란드,52.3676,4.9041,유럽
스웨덴,59.3293,18.0686,유럽
노르웨이,59.9139,10.7522,유럽
덴마크,55.6761,12.5683,유럽
핀란드,60.1699,24.9384,유럽
벨기에,50.8503,4.3517,유럽
포르투갈,38.7223,-9.1393,유럽
그리스,37.9838,23.7275,유럽
오스트리아,48.2082,16.3738,유럽
폴란드,52.2297,21.0122,유럽
체코,50.0755,14.4378,유럽
헝가리,47.4979,19.0402,유럽
크로아티아,45.8150,15.9819,유럽
페루,-12.0464,-77.0428,남아메리카
콜롬비아,4.7110,-74.0721,남아메리카
필리핀,14.5995,120.9842,아시아
우크라이나,50.4501,30.5234,유럽
이란,35.6892,51.3890,아시아
이라크,33.3152,44.3661,아시아
아프가니스탄,34.5253,69.1783,아시아
파키스탄,33.7294,73.0931,아시아
방글라데시,23.8103,90.4125,아시아
스리랑카,6.9271,79.8612,아시아
미얀마,19.7633,96.0785,아시아
몽골,47.8864,106.9057,아시아
카자흐스탄,51.1694,71.4491,아시아
우즈베키스탄,41.3775,69.2949,아시아
아일랜드,53.3498,-6.2603,유럽
바티칸,41.9029,12.4534,유럽
룩셈부르크,49.6116,6.1319,유럽
에스토니아,59.4370,24.7536,유럽
라트비아,56.9496,24.1052,유럽
리투아니아,54.6872,25.2797,유럽
알제리,36.7372,3.0863,아프리카
튀니지,36.8065,10.1815,아프리카
리비아,32.8872,13.1913,아프리카
세네갈,14.7645,-17.3660,아프리카
가나,5.6037,-0.1870,아프리카
에티오피아,9.0320,38.7469,아프리카
소말리아,2.0469,45.3182,아프리카
콩고민주공화국,-4.4419,15.2663,아프리카
우간다,0.3476,32.5825,아프리카
탄자니아,-6.7924,39.2083,아프리카
볼리비아,-16.4897,-68.1193,남아메리카
베네수엘라,10.4806,-66.9036,남아메리카
에콰도르,-0.1807,-78.4678,남아메리카
파라과이,-25.2637,-57.5759,남아메리카
우루과이,-34.9011,-56.1915,남아메리카
쿠바,23.1136,-82.3666,북아메리카
자메이카,18.0179,-76.8099,북아메리카
